№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
147,Cullinan,"улица Толе би, 28/1, Астана",+77762221919,4.6,83,50,Не указано,"Европейская кухня, Средиземноморская кухня, Заказ столиков, Винная карта, Живая музыка",https://2gis.kz/astana/firm/70000001104280253,cafe_0147.html
148,Казбек,"улица Алихан Бокейхан, 6, Астана",+77013528686,4.7,448,170,9000 тнг,Чек 9000 тнг,https://2gis.kz/astana/firm/70000001065738755,cafe_0148.html
149,Mangal,"улица Сакена Сейфуллина, 35, Астана",+77003339613,4.2,165,59,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001023440401,cafe_0149.html
150,Best_chicken_astana,"проспект Магжана Жумабаева, 15/4, Астана",+77714217000,4.8,116,46,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001082029286,cafe_0150.html
151,Асүй,"улица Сафуан Шаймерденов, 4/3, Астана",+77715256223,4.9,97,84,2200 тнг,Чек 2200 тнг,https://2gis.kz/astana/firm/70000001102672196,cafe_0151.html
152,La Fetta,"Аль-Фараби проспект, 33, Астана",+77073587035,4.8,58,32,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001106050549,cafe_0152.html
153,Dubai drinks,"улица Кажымукан, 20, Астана",+77781843870,4.5,207,70,Не указано,"Кофе с собой, Bubble Tea, Смузи, Молочные коктейли, Горячий шоколад",https://2gis.kz/astana/firm/70000001104239934,cafe_0153.html
154,Night Post,"Кабанбай батыр проспект, 3, Астана",+77022246996,4.9,33,12,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104949784,cafe_0154.html
155,Basilic,"улица Шаймерден Косшыгулулы, 24, Астана",+77058060606,4.6,4995,169,Не указано,"Премия 2ГИС 2018, Шаурма, Пицца, Шашлык, Бургеры",https://2gis.kz/astana/firm/70000001033784498,cafe_0155.html
156,Belvedere,"Бухар жырау улица, 25 блок 3, Астана",+77771342070,4.8,96,53,Не указано,Кафе,https://2gis.kz/astana/firm/70000001109848998,cafe_0156.html
157,Altyn Palau,"улица Елубай Тайбеков, 12, Астана",+77003001614,4.7,1564,212,Не указано,"Восточная кухня, Халяльная кухня, Заказ столиков, Заказ навынос, Детское меню",https://2gis.kz/astana/firm/70000001076197195,cafe_0157.html
158,Butcher`s Street,"проспект Мангилик Ел, 37, Астана",+77777771036,4.5,1074,184,Не указано,"Бургеры, Десерты, Вторые блюда, Корпоративные обеды, Салаты",https://2gis.kz/astana/firm/70000001031308957,cafe_0158.html
159,Тень,"Кабанбай батыр проспект, 49, Астана",+77477670007,4.8,257,79,Не указано,"Спортивный бар, Заказ столиков, Заказ навынос, Живая музыка, Спортивные трансляции",https://2gis.kz/astana/firm/70000001100581149,cafe_0159.html
160,Bahandi burger,"проспект Туран, 55д киоск, Астана",+77015731111,4.4,1476,100,Не указано,"Бургерные, Заказ навынос, Бургеры, Картофель-фри",https://2gis.kz/astana/firm/70000001051608376,cafe_0160.html
161,Gentles bar & grill,"улица Ахмет Байтурсынулы, 5, Астана",+77775555393,4.9,154,103,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001023543419,cafe_0161.html
162,Illuzion,"Амангельды Иманова улица, 47/2, Астана",+77786531797,4.7,301,118,Не указано,Кафе,https://2gis.kz/astana/firm/70000001096255954,cafe_0162.html
163,Trattoria,"проспект Тауелсиздик, 21/2, Астана",+77079887887,4.8,2013,35,Не указано,"Заказ навынос, Пицца, Картофель-фри, Наггетсы, Доставка",https://2gis.kz/astana/firm/70000001103789296,cafe_0163.html
164,Умар,"Кабанбай батыр проспект, 47/2, Астана",+77762889971,4.5,217,27,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001084519237,cafe_0164.html
165,Hop House Steak House,"улица Гейдара Алиева, 2, Астана",+77020982035,4.8,237,180,8000 тнг,Чек 8000 тнг,https://2gis.kz/astana/firm/70000001088020678,cafe_0165.html
166,Bruno,"улица Ахмет Байтурсынулы, 49, Астана",+77787378818,4.9,99,33,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001097868775,cafe_0166.html
167,Koke Lounge,"улица Сыганак, 15/1, Астана",+77473888145,4.8,47,64,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001105689136,cafe_0167.html
168,Көкtem,"улица Динмухамед Конаев, 12/1, Астана",+77010505050,4.5,4485,664,5000 тнг,"Премия 2ГИС 2019, Премия 2ГИС 2018, Чек 5000 тнг",https://2gis.kz/astana/firm/70000001032494391,cafe_0168.html
169,Туран донер,"проспект Туран, 58/1а, Астана",+77051011552,4.8,304,33,2000 тнг,Чек 2000 тнг,https://2gis.kz/astana/firm/70000001074847399,cafe_0169.html
170,Jan sushi,"улица Темирбек Жургенов, 28, Астана",+77066399154,4.7,970,325,Не указано,"Суши, Пицца, Закрытая пицца",https://2gis.kz/astana/firm/70000001036645818,cafe_0170.html
171,Пицца Блюз,"Жанибек хандар улица, 22, Астана",+77471205280,4.5,342,99,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001062257328,cafe_0171.html
172,Janym soul,"Жанибек хандар улица, 18, Астана",+77089081555,4.7,2606,243,Не указано,Кафе,https://2gis.kz/astana/firm/70000001052444550,cafe_0172.html
173,Bourbon street,"улица Ахмет Байтурсынулы, 23 блок Б, Астана",+77011362888,4.8,130,45,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001041001203,cafe_0173.html
174,Оладушки,"проспект Улы Дала, 25, Астана",+77479181034,4.5,183,111,Не указано,"Кофе с собой, Чай с собой, Кондитерская, Торты, Меренговые рулеты",https://2gis.kz/astana/firm/70000001081883226,cafe_0174.html
175,Саржайлау,"улица Жумекен Нажимеденов, 13/1, Астана",+77023168899,4.5,53,105,Не указано,Доставка,https://2gis.kz/astana/firm/70000001092869801,cafe_0175.html
176,Delish,"улица Динмухамед Конаев, 5, Астана",+77471605050,4.9,1000,223,Не указано,"Пандус, Доступный вход для людей с инвалидностью",https://2gis.kz/astana/firm/70000001099770615,cafe_0176.html
177,Chicken Khan,"улица Айнакол, 99/1, Астана",+77719099291,4.8,240,53,2100 тнг,Чек 2100 тнг,https://2gis.kz/astana/firm/70000001050824203,cafe_0177.html
178,Yaposhka,"улица Санжара Асфендиярова, 2, Астана",+77476661356,1.5,91,110,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104380377,cafe_0178.html
179,Blck,"улица Шамши Калдаяков, 1, Астана",+77008087800,4.9,1110,138,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001076596353,cafe_0179.html
180,Перчини,"проспект Туран, 20, Астана",+77752915581,4.6,1340,489,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001028355740,cafe_0180.html
181,Шашлычная,"проспект Нургиса Тлендиева, 24/3в, Астана",+77079504089,4.9,35,25,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001103363487,cafe_0181.html
182,Шиша Platinum,"улица Достык, 1а, Астана",+77758551926,4.9,220,173,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001066327167,cafe_0182.html
183,Damdi Chicken,"улица Фахд бен Абдул Азиз, 23, Астана",+77773029200,4.9,344,26,Не указано,"Суши, Шаурма, Пицца, Бургеры, Пицца на дровах",https://2gis.kz/astana/firm/70000001039595737,cafe_0183.html
184,ЯГриль,"улица Алексея Петрова, 28, Астана",+77028588202,4.7,784,84,Не указано,"Вторые блюда, Корпоративные обеды",https://2gis.kz/astana/firm/70000001021744954,cafe_0184.html
185,КАРАОКЕ TENGOVKA,"улица Мугалжар, 2/1а, Астана",+77750051121,4.9,2652,181,Не указано,Кафе,https://2gis.kz/astana/firm/70000001056012082,cafe_0185.html
186,Bomo’s Kebab,"Е-15 улица, 16, Астана",+77071325854,4.1,19,23,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001110151145,cafe_0186.html
187,Afra,"улица Гейдара Алиева, 16, Астана",+77765550556,4.7,137,77,Не указано,Ланч от 7000 тнг,https://2gis.kz/astana/firm/70000001109602205,cafe_0187.html
188,Underground,"Кабанбай батыр проспект, 46/1, Астана",+77473093232,4.9,246,51,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001083985619,cafe_0188.html
189,7even,"улица Жанайдар Жирентаев, 8, Астана",+77007725802,4.9,542,1251,Не указано,Кафе,https://2gis.kz/astana/firm/70000001093322559,cafe_0189.html
190,TOOMAN,"Кабанбай батыр проспект, 13/4, Астана",+77479903033,4.8,1845,77,6000 тнг,Чек 6000 тнг,https://2gis.kz/astana/firm/70000001055508095,cafe_0190.html
191,Жұмсақ тағам,"проспект Республики, 33а, Астана",+77715792717,4.8,224,71,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001092864857,cafe_0191.html
192,Blackwood,"проспект Улы Дала, 71, Астана",+77077332222,4.7,343,115,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001065964310,cafe_0192.html
193,Столовая,"Кабанбай батыр проспект, 47, Астана",+77082053059,4.7,12,4,Не указано,Кафе,https://2gis.kz/astana/firm/70000001104029068,cafe_0193.html
194,Asatu,"проспект Сарыарка, 22, Астана",+77009991717,4.7,750,380,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001098578641,cafe_0194.html
195,Taiyo,"улица Достык, 4, Астана",+77761116633,4.5,882,207,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001090104472,cafe_0195.html
196,Кесе,"улица Кумкент, 20/1, Астана",+77027858088,4.9,158,90,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001081181004,cafe_0196.html
197,Плов Тандыр,"Бухар жырау улица, 27, Астана",+77006131981,4.7,168,56,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001101672567,cafe_0197.html
198,Chicken.hot.astana,"улица Шаймерден Косшыгулулы, 11/3, Астана",+77789243584,4.7,50,11,Не указано,"Заказ навынос, Пицца, Крылышки, Доставка",https://2gis.kz/astana/firm/70000001092740719,cafe_0198.html
199,RizaBall,"проспект Бауыржан Момышулы, 12, Астана",+77055173975,4.8,296,93,4500 тнг,Чек 4500 тнг,https://2gis.kz/astana/firm/70000001060030274,cafe_0199.html
200,Azhar,"шоссе Коргалжын, 26, Астана",+77022655395,4.9,242,78,10000 тнг,Чек 10000 тнг,https://2gis.kz/astana/firm/70000001091603773,cafe_0200.html
201,Aiala Coffee+Wine,"улица Сагадат Нурмагамбетов, 25, Астана",+77008400888,4.9,101,91,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001105342843,cafe_0201.html
202,Dio Grand Cafe,"улица Сарайшык, 34в, Астана",+77006005363,4.6,748,419,16000 тнг,Чек 16000 тнг,https://2gis.kz/astana/firm/70000001084131932,cafe_0202.html
203,Shatush,"шоссе Коргалжын, 13, Астана",+77015559592,4.7,433,131,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001019465988,cafe_0203.html
204,Shelby pub,"улица Алихан Бокейхан, 25v, Астана",+77052760444,4.8,160,115,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001094080999,cafe_0204.html
205,MacChicken,"улица Илияс Омаров, 1, Астана",+77009051617,4.9,165,97,Не указано,"Шавермы, Халяльная кухня, Заказ навынос, Суши, Пицца",https://2gis.kz/astana/firm/70000001084434235,cafe_0205.html
206,Coffee Hub,"Кабанбай батыр проспект, 56, Астана",+77019733233,4.2,165,82,Не указано,Кафе,https://2gis.kz/astana/firm/70000001110629027,cafe_0206.html
207,Сәтті,"Е-15 улица, 13/1, Астана",+77071328636,4.5,40,15,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001104067702,cafe_0207.html
208,Toigan_food,"Жанибек хандар улица, 40, Астана",+77769419119,4.9,173,178,Не указано,"Кофе с собой, Чай с собой, Доставка, Пандус, Доступный вход для людей с инвалидностью",https://2gis.kz/astana/firm/70000001093429827,cafe_0208.html
209,Sushi.Pizza.Wok,"улица Григория Потанина, 2, Астана",+77719752233,4.8,562,91,Не указано,"Суши, Пицца, Доставка wok, Десерты, Лагман",https://2gis.kz/astana/firm/70000001024130580,cafe_0209.html
210,Хочу Рыбу,"проспект Туран, 52/5, Астана",+77770333818,4.5,270,111,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001092837417,cafe_0210.html
211,Bookish cafe,"проспект Мангилик Ел, 35/1, Астана",+77075707087,4.8,864,437,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001096897966,cafe_0211.html
212,Dala,"улица Жумекен Нажимеденов, 16Б, Астана",+77756333902,4.5,946,262,4000 тнг,Чек 4000 тнг,https://2gis.kz/astana/firm/70000001060023821,cafe_0212.html
