№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
2795,Burger na Abaya,"улица Шаймерден Косшыгулулы, 10, Астана",Не указано,Нет рейтинга,0,23,Не указано,Кафе,https://2gis.kz/astana/firm/70000001111554600,cafe_2795.html
2796,Донер на Абая,"улица Шаймерден Косшыгулулы, 10, Астана",Не указано,Нет рейтинга,0,23,Не указано,Кафе,https://2gis.kz/astana/firm/70000001111554620,cafe_2796.html
2797,Кафе быстрого питания,"переулок Сарыадыр, 26а, Астана",+77780808863,4.9,191,67,1800 тнг,Чек 1800 тнг,https://2gis.kz/astana/firm/70000001067052376,cafe_2797.html
2798,Киоск быстрого питания,"Астана, Астана",+77008830000,Нет рейтинга,0,0,Не указано,Самса,https://2gis.kz/astana/firm/70000001104253734,cafe_2798.html
2799,Киоск фастфуда,"улица Ыкылас Дукенулы, 13Б киоск, Астана",Не указано,2.6,13,1,Не указано,"Заказ навынос, Самса",https://2gis.kz/astana/firm/70000001033667745,cafe_2799.html
2800,Столовая,"улица Лепсы, 14в, Астана",Не указано,1.7,2,1,Не указано,Кафе,https://2gis.kz/astana/firm/70000001082352977,cafe_2800.html
2801,Big Baget,"улица Жанадария, 1а, Астана",+77011189313,3.6,22,10,1000 тнг,Чек 1000 тнг,https://2gis.kz/astana/firm/70000001061964441,cafe_2801.html
2802,Тандырная,"улица Ыкылас Дукенулы, 31/1, Астана",+77008830000,Нет рейтинга,0,0,Не указано,"Самса, Беляши",https://2gis.kz/astana/firm/70000001111231580,cafe_2802.html
2803,Киоск быстрого питания,"улица Кокжелек, 1/3, Астана",+77788534850,4.6,8,2,Не указано,Заказ навынос,https://2gis.kz/astana/firm/70000001105237505,cafe_2803.html
2804,Столовая,"проспект Акжол, 38, Астана",+77475252215,1.5,2,4,1000 тнг,Чек 1000 тнг,https://2gis.kz/astana/firm/70000001029347423,cafe_2804.html
2805,KFC,"улица Косшы, 016, Косшы",7797,Нет рейтинга,280,112,2000 тнг,Чек 2000 тнг,https://2gis.kz/kosshy/firm/70000001056380079,cafe_2805.html
2806,Turli Tagam,"улица Куляш Байсеитовой, 27/1, Астана",+77773029200,4.5,17,14,Не указано,"Шаурма, Шашлык, Манты, Картофель-фри, Крылышки",https://2gis.kz/astana/firm/70000001087825234,cafe_2806.html
2807,golden_pub.kz,"улица Желтоксан, 4, Астана",+77018323144,Нет рейтинга,21,3,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001102450981,cafe_2807.html
2808,Champion Food,"улица Академик Рамазан Сулейменов, 17/1, Астана",+77753603497,4.7,60,42,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001059407762,cafe_2808.html
